source_segment,country,state_province,city,facility_type,refinery_name_raw,refinery_name_clean,company_raw,company_clean,site_id,latitude,longitude,capacity_bpd_raw,capacity_m3_day_raw,peak_capacity_bpd,approx_nelson_complexity_proxy,complexity_confidence,status_raw,link_raw,flags,cat_cracking_fresh_feed_bpd,cat_cracking_recycled_feed_bpd,cat_hydrocracking_distillate_bpd,cat_hydrocracking_gas_oil_bpd,cat_hydrocracking_residual_bpd,cat_reforming_high_pressure_bpd,cat_reforming_low_pressure_bpd,vacuum_distillation_bpd,thermal_cracking_delayed_coking_bpd,thermal_cracking_fluid_coking_bpd,thermal_cracking_visbreaking_bpd,thermal_cracking_other_bpd,alkylates_bpd,isomerization_isobutane_bpd,isomerization_isopentane_isohexane_bpd,isomerization_isooctane_bpd,desulfurization_diesel_bpd,desulfurization_naphtha_reformer_feed_bpd,desulfurization_gasoline_bpd,desulfurization_heavy_gas_oil_bpd,desulfurization_kerosene_jet_bpd,desulfurization_other_distillate_bpd,desulfurization_other_bpd,desulfurization_residual_bpd,fuels_solvent_deasphalting_bpd,asphalt_road_oil_bpd,aromatics_bpd,lubricants_bpd,petcoke_market_bpd,hydrogen_mmcfd,sulfur_short_tons_per_day
north_america_manual_list,Canada,Quebec,Montreal,Refinery,Utrlamar (Valero),utrlamar-valero,Ultramar (Valero),ultramar-valero,canada|quebec|utrlamar-valero,45.503326,-73.574368,265000.0,,265000.0,,,,http://www.valero.com/contactus/pages/home.aspx,north_america_thin_segment|major_refinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north_america_manual_list,Canada,,Fort Saskatchewan,Refinery,Shell Fort Saskatchewan Shell,shell-fort-saskatchewan-shell,Shell,shell,canada|shell-fort-saskatchewan-shell,53.79858,-113.09395,255000.0,,255000.0,,,,,north_america_thin_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north_america_manual_list,Canada,Ohio,Catlettsburg,Refinery,Catlettsburg Refinery,catlettsburg-refinery,Marathon Oil,marathon-oil,canada|ohio|catlettsburg-refinery,38.374167,-82.598611,240000.0,,240000.0,,,,,north_america_thin_segment|likely_country_or_province_error|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north_america_manual_list,Canada,Alberta,Edmonton,Refinery,Edmonton,edmonton,Imperial,imperial,canada|alberta|edmonton,53.542892,-113.498323,187000.0,,187000.0,,,,http://www.canadianminingjournal.com/esource/profile.aspx?company_id=018646937&er=NA,north_america_thin_segment|major_refinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north_america_manual_list,Canada,Saskatchewan,Regina,Refinery,Regina,regina,Co-op Refinery/Upgrader,co-op-refinery-upgrader,canada|saskatchewan|regina,50.444778,-104.605865,145000.0,,145000.0,,,,https://www.google.com/search?q=prince+george+husky+refinery&ie=utf-8&oe=utf-8&aq=t&rls=org.mozilla:en-US:official&client=firefox-a#q=regina+co-op+refinery&rls=org.mozilla:en-US:official,north_america_thin_segment|non_refinery_or_upgrader_like|major_refinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north_america_manual_list,Canada,Alberta,Edmonton,Refinery,Suncor Energy Products Partnership - Edmonton Refinery,suncor-energy-products-partnership-edmonton-refinery,Suncor Energy Inc,suncor-energy-inc,canada|alberta|suncor-energy-products-partnership-edmonton-refinery,53.542892,-113.498323,140000.0,,140000.0,,,,http://www.suncor.com/en/independent/320.aspx,north_america_thin_segment|major_refinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north_america_manual_list,Canada,Quebec,Montreal,Refinery,Suncor Energy Products Partnership - Montreal Refinery,suncor-energy-products-partnership-montreal-refinery,Suncor Energy Inc,suncor-energy-inc,canada|quebec|suncor-energy-products-partnership-montreal-refinery,45.639497,-73.515493,137000.0,,137000.0,,,,http://www.suncor.com/en/independent/320.aspx,north_america_thin_segment|major_refinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north_america_manual_list,Canada,Alberta,Fort McMurray,Refinery,Fort McMurray,fort-mcmurray,CNRL Horizon,cnrl-horizon,canada|alberta|fort-mcmurray,56.726389,-111.380278,135000.0,,135000.0,,,,http://www.cnrl.com/contacts-and-locations.html,north_america_thin_segment|major_refinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north_america_manual_list,Canada,Ontario,Sarnia,Refinery,Sarnia Refinery Plant,sarnia-refinery-plant,Imperial Oil,imperial-oil,canada|ontario|sarnia-refinery-plant,42.954428,-82.415397,121000.0,,121000.0,,,,http://www.imperialoil.ca/Canada-English/Files/Sarnia_Refinery_TRP_Dec_2012.pdf,north_america_thin_segment|major_refinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north_america_manual_list,Canada,Newfoundland & Labrador,Come By Chance,Refinery,North Atlantic Refinery,north-atlantic-refinery,Nroth Atlantic Refining Limited,nroth-atlantic-refining-limited,canada|newfoundland-labrador|north-atlantic-refinery,47.363993,-53.857718,115000.0,,115000.0,,,,http://www.northatlantic.ca/contact.asp,north_america_thin_segment|major_refinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
